timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123999.4343965,d81c79de34e1,"(62.0, 42.0)","(315.0, 515.0)"
1734123999.440398,d81c79de34e1,"(367.75000776491765, 331.65790209307994)","(295.0, 845.0)"
1734123999.4423966,d81c79de34e1,"(440.8716455437776, 431.2281189041512)","(310.0, 835.0)"
1734123999.4434636,d81c79de34e1,"(104.1022982415858, 686.5335618887918)","(300.0, 825.0)"
1734123999.449252,d81c79de34e1,"(92.21792860378198, 695.5431237128674)","(290.0, 810.0)"
1734123999.4891968,d81c79de34e1,"(91.57529297818638, 695.3967501291904)","(290.0, 815.0)"
1734123999.4912438,d81c79de34e1,"(91.57529297818638, 695.3967501291904)","(290.0, 815.0)"
1734123999.4982345,d81c79de34e1,"(91.57529297818638, 695.3967501291904)","(290.0, 815.0)"
1734123999.4992356,d81c79de34e1,"(90.97017783985223, 695.2589226141765)","(290.0, 820.0)"
1734123999.539317,d81c79de34e1,"(90.97017783985223, 695.2589226141765)","(290.0, 820.0)"
1734123999.5413144,d81c79de34e1,"(95.04385806755235, 692.0273611689)","(295.0, 825.0)"
1734123999.5674222,d81c79de34e1,"(95.04385806755235, 692.0273611689)","(295.0, 825.0)"
1734123999.7944384,d81c79de34e1,"(90.97017783985223, 695.2589226141765)","(290.0, 820.0)"
1734123999.797439,d81c79de34e1,"(89.94312869610965, 672.09962339199)","(280.0, 800.0)"
1734123999.8063877,d81c79de34e1,"(89.89575963930001, 671.0314815535872)","(285.0, 820.0)"
1734123999.8113885,d81c79de34e1,"(89.89575963930001, 671.0314815535872)","(285.0, 820.0)"
1734124000.0976045,d81c79de34e1,"(89.89575963930001, 671.0314815535872)","(285.0, 820.0)"
1734124000.103555,d81c79de34e1,"(89.89575963930001, 671.0314815535872)","(285.0, 820.0)"
1734124000.1061895,d81c79de34e1,"(91.78001574040339, 668.1425656835789)","(285.0, 815.0)"
1734124000.1141915,d81c79de34e1,"(94.70376134426765, 663.530348126208)","(255.0, 750.0)"
1734124000.1151907,d81c79de34e1,"(94.70376134426765, 663.530348126208)","(255.0, 750.0)"
1734124000.1834097,d81c79de34e1,"(92.6972383631476, 666.6134392527413)","(255.0, 750.0)"
1734124000.1847112,d81c79de34e1,"(92.6972383631476, 666.6134392527413)","(255.0, 750.0)"
1734124000.1937628,d81c79de34e1,"(92.74855237176637, 667.6575533527146)","(250.0, 745.0)"
1734124000.195763,d81c79de34e1,"(90.75805447361029, 670.6551958888289)","(250.0, 745.0)"
1734124000.2701778,d81c79de34e1,"(90.7126576723027, 669.6628153004641)","(250.0, 745.0)"
1734124000.2718318,d81c79de34e1,"(90.7126576723027, 669.6628153004641)","(250.0, 745.0)"
1734124000.2728722,d81c79de34e1,"(102.48389633927886, 665.6235283176271)","(255.0, 755.0)"
1734124000.2738678,d81c79de34e1,"(102.48389633927886, 665.6235283176271)","(255.0, 755.0)"
1734124000.27483,d81c79de34e1,"(99.9276551367282, 668.7787737364051)","(250.0, 750.0)"
1734124000.2798316,d81c79de34e1,"(99.77866681539409, 666.3166463781437)","(250.0, 750.0)"
1734124000.465014,d81c79de34e1,"(99.77866681539409, 666.3166463781437)","(250.0, 750.0)"
1734124000.5199976,d81c79de34e1,"(111.05161508631035, 675.1601163048377)","(250.0, 750.0)"
1734124000.5219646,d81c79de34e1,"(114.13057766988987, 672.4844961314919)","(250.0, 750.0)"
1734124000.522998,d81c79de34e1,"(117.23271414673505, 669.7887378321919)","(255.0, 750.0)"
1734124000.524964,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124000.5611677,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124000.5631638,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124000.5681367,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124000.5691364,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124001.1218674,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124001.1243832,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124001.1284246,d81c79de34e1,"(120.34651897736316, 667.0828397270568)","(255.0, 750.0)"
1734124001.1373837,d81c79de34e1,"(119.05018574573016, 667.5502564105627)","(255.0, 755.0)"
1734124001.1383832,d81c79de34e1,"(119.05018574573016, 667.5502564105627)","(255.0, 755.0)"
1734124001.143613,d81c79de34e1,"(119.31919625038925, 667.0502825190274)","(260.0, 760.0)"
1734124001.1632917,d81c79de34e1,"(116.25164046341615, 669.7608172352227)","(260.0, 760.0)"
1734124001.190483,d81c79de34e1,"(113.19593045530975, 672.4608848573902)","(255.0, 760.0)"
1734124001.191269,d81c79de34e1,"(113.19593045530975, 672.4608848573902)","(255.0, 760.0)"
1734124001.1962783,d81c79de34e1,"(113.2718323245621, 673.3955911753648)","(255.0, 755.0)"
1734124001.2301402,d81c79de34e1,"(111.96025743116623, 673.0408258885349)","(255.0, 760.0)"
1734124001.2319484,d81c79de34e1,"(111.96025743116623, 673.0408258885349)","(255.0, 760.0)"
1734124001.232949,d81c79de34e1,"(108.98322110975752, 675.6986098721122)","(255.0, 760.0)"
1734124001.305351,d81c79de34e1,"(108.98322110975752, 675.6986098721122)","(255.0, 760.0)"
1734124001.30738,d81c79de34e1,"(108.98322110975752, 675.6986098721122)","(255.0, 760.0)"
1734124001.318392,d81c79de34e1,"(106.04106740462709, 678.3252519921579)","(100.0, 890.0)"
1734124003.167893,d81c79de34e1,"(106.04106740462709, 678.3252519921579)","(100.0, 890.0)"
1734124003.1762636,d81c79de34e1,"(106.04106740462709, 678.3252519921579)","(100.0, 890.0)"
1734124003.1802585,d81c79de34e1,"(106.04106740462709, 678.3252519921579)","(100.0, 890.0)"
1734124003.1822605,d81c79de34e1,"(108.98322110975752, 675.6986098721122)","(255.0, 760.0)"
1734124003.1842558,d81c79de34e1,"(107.9385449172358, 675.4217345811282)","(105.0, 895.0)"
1734124003.213318,d81c79de34e1,"(107.33702270470847, 675.2623104085291)","(105.0, 895.0)"
1734124003.2143257,d81c79de34e1,"(107.33702270470847, 675.2623104085291)","(105.0, 895.0)"
1734124003.2153263,d81c79de34e1,"(110.2294610689567, 672.5726662195941)","(105.0, 895.0)"
1734124003.2193255,d81c79de34e1,"(113.14596134625938, 669.8606471425987)","(250.0, 750.0)"
1734124003.2203257,d81c79de34e1,"(113.14596134625938, 669.8606471425987)","(250.0, 750.0)"
1734124003.2333035,d81c79de34e1,"(116.0757479515933, 667.1362732664749)","(255.0, 755.0)"
1734124003.2880356,d81c79de34e1,"(116.0757479515933, 667.1362732664749)","(255.0, 755.0)"
1734124003.2900474,d81c79de34e1,"(116.3188868737832, 669.9470519512171)","(255.0, 755.0)"
1734124003.2921228,d81c79de34e1,"(119.2769780073735, 667.3452888324395)","(255.0, 755.0)"
1734124003.2971358,d81c79de34e1,"(119.2769780073735, 667.3452888324395)","(255.0, 755.0)"
1734124004.6345267,d81c79de34e1,"(119.2769780073735, 667.3452888324395)","(255.0, 755.0)"
1734124004.636205,d81c79de34e1,"(119.2769780073735, 667.3452888324395)","(255.0, 755.0)"
1734124004.6372254,d81c79de34e1,"(122.22829675796865, 664.7494823037422)","(255.0, 750.0)"
1734124004.639226,d81c79de34e1,"(119.92837407283662, 662.8068526181862)","(250.0, 745.0)"
1734124004.644227,d81c79de34e1,"(122.34564897321401, 660.530814998725)","(255.0, 750.0)"
1734124004.6965797,d81c79de34e1,"(123.13777791342805, 660.7645964414785)","(255.0, 750.0)"
1734124004.6976063,d81c79de34e1,"(126.24914139682011, 657.8804235059987)","(255.0, 750.0)"
1734124004.6995752,d81c79de34e1,"(127.79219885938403, 657.3494461117947)","(255.0, 745.0)"
1734124004.7105706,d81c79de34e1,"(127.79219885938403, 657.3494461117947)","(255.0, 745.0)"
1734124004.7985966,d81c79de34e1,"(130.94309491010216, 654.4681014216986)","(260.0, 750.0)"
1734124004.8027482,d81c79de34e1,"(131.71753746299518, 661.3479979602724)","(260.0, 750.0)"
1734124004.8087478,d81c79de34e1,"(131.71753746299518, 661.3479979602724)","(260.0, 750.0)"
1734124004.820715,d81c79de34e1,"(129.62587120688102, 659.5040622011918)","(255.0, 745.0)"
1734124004.827366,d81c79de34e1,"(132.75139119846068, 656.808571883439)","(255.0, 745.0)"
1734124004.829338,d81c79de34e1,"(132.75139119846068, 656.808571883439)","(255.0, 745.0)"
1734124004.834347,d81c79de34e1,"(133.35685968047747, 662.0699131297902)","(260.0, 745.0)"
1734124004.844984,d81c79de34e1,"(136.3390434929595, 659.7209977329138)","(260.0, 745.0)"
1734124005.027027,d81c79de34e1,"(136.3390434929595, 659.7209977329138)","(260.0, 745.0)"
1734124005.0326371,d81c79de34e1,"(143.09794961562986, 654.3973491398488)","(265.0, 745.0)"
1734124007.1701274,d81c79de34e1,"(143.09794961562986, 654.3973491398488)","(265.0, 745.0)"
1734124007.177094,d81c79de34e1,"(145.46394137439847, 656.6180037704949)","(270.0, 750.0)"
1734124007.1792624,d81c79de34e1,"(147.1290260175364, 655.3825155860427)","(270.0, 750.0)"
1734124007.1832616,d81c79de34e1,"(147.67901620804258, 655.5563182514554)","(270.0, 750.0)"
1734124007.2066102,d81c79de34e1,"(147.67901620804258, 655.5563182514554)","(270.0, 750.0)"
1734124007.2120724,d81c79de34e1,"(154.67936625018365, 650.406509714034)","(275.0, 750.0)"
1734124007.2130752,d81c79de34e1,"(155.29910938768245, 650.610097082604)","(275.0, 750.0)"
1734124007.2140722,d81c79de34e1,"(155.29910938768245, 650.610097082604)","(275.0, 750.0)"
1734124007.2150724,d81c79de34e1,"(155.53596782830425, 652.1551754813985)","(275.0, 750.0)"
1734124007.216087,d81c79de34e1,"(155.53596782830425, 652.1551754813985)","(275.0, 750.0)"
1734124007.2490118,d81c79de34e1,"(155.53596782830425, 652.1551754813985)","(275.0, 750.0)"
1734124007.250367,d81c79de34e1,"(156.8914170412463, 652.5970647085805)","(280.0, 750.0)"
1734124007.252047,d81c79de34e1,"(157.1170156419198, 654.0487222732866)","(280.0, 750.0)"
1734124007.254047,d81c79de34e1,"(157.1170156419198, 654.0487222732866)","(280.0, 750.0)"
1734124007.3148625,d81c79de34e1,"(164.0425179329328, 649.3262507007902)","(280.0, 750.0)"
1734124007.3178566,d81c79de34e1,"(175.36466701843725, 645.3016494260816)","(285.0, 740.0)"
1734124007.327644,d81c79de34e1,"(195.4951594697975, 652.3358511619341)","(300.0, 740.0)"
1734124007.3336434,d81c79de34e1,"(198.0906300352591, 655.313596961472)","(305.0, 750.0)"
1734124008.214312,d81c79de34e1,"(206.1042581255359, 651.4962188515659)","(305.0, 745.0)"
1734124008.222311,d81c79de34e1,"(206.1042581255359, 651.4962188515659)","(305.0, 745.0)"
1734124008.2272515,d81c79de34e1,"(195.60827499223612, 655.7407458599127)","(305.0, 760.0)"
1734124008.229249,d81c79de34e1,"(195.85691441885245, 656.8828917872557)","(305.0, 760.0)"
1734124008.231284,d81c79de34e1,"(198.70022049420123, 655.5387238836028)","(305.0, 760.0)"
1734124008.236924,d81c79de34e1,"(198.70022049420123, 655.5387238836028)","(305.0, 760.0)"
