timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734123232.6263928,20f094118214,"(62.0, 42.0)","(295.0, 1010.0)"
1734123232.631394,20f094118214,"(403.0, 443.0)","(875.0, 445.0)"
1734123232.642429,20f094118214,"(117.2464477693203, 673.579235229367)","(315.0, 575.0)"
1734123232.6584206,20f094118214,"(134.28790403382317, 667.225717705077)","(230.0, 950.0)"
1734123232.663452,20f094118214,"(134.28790403382317, 667.225717705077)","(230.0, 950.0)"
1734123232.6763,20f094118214,"(149.8206982057418, 635.1527594046177)","(235.0, 945.0)"
1734123232.6869,20f094118214,"(210.84269232109787, 656.6012936233888)","(275.0, 930.0)"
1734123232.690909,20f094118214,"(191.36542363240693, 664.9534181266034)","(270.0, 920.0)"
1734123232.6929088,20f094118214,"(193.07919390629718, 665.5086579229859)","(275.0, 920.0)"
1734123232.7179132,20f094118214,"(193.07919390629718, 665.5086579229859)","(275.0, 920.0)"
1734123232.7199132,20f094118214,"(259.3826109739063, 637.0981748898645)","(285.0, 910.0)"
1734123232.7216792,20f094118214,"(169.90472064250875, 674.8905606285732)","(275.0, 890.0)"
1734123232.7247148,20f094118214,"(172.3041773665219, 673.8771125718366)","(275.0, 890.0)"
1734123232.726689,20f094118214,"(184.2781161660471, 685.4690141648482)","(220.0, 905.0)"
1734123232.7467337,20f094118214,"(186.71252103854076, 684.756767855678)","(215.0, 910.0)"
1734123232.750697,20f094118214,"(194.14402203057355, 681.2399816994393)","(210.0, 905.0)"
1734123232.752699,20f094118214,"(196.56436626511265, 680.5083277484225)","(205.0, 910.0)"
1734123232.7576685,20f094118214,"(196.56436626511265, 680.5083277484225)","(205.0, 910.0)"
1734123232.7693212,20f094118214,"(209.5297921017069, 676.5889658227153)","(265.0, 905.0)"
1734123232.772299,20f094118214,"(208.91988949906477, 675.910711540581)","(215.0, 915.0)"
1734123232.7783017,20f094118214,"(201.21234650942617, 642.6552137488915)","(215.0, 915.0)"
1734123232.7813025,20f094118214,"(201.80952811394587, 643.380796339943)","(265.0, 900.0)"
1734123232.7823005,20f094118214,"(199.11214077869096, 644.3965765468408)","(260.0, 905.0)"
1734123232.7833004,20f094118214,"(199.11214077869096, 644.3965765468408)","(260.0, 905.0)"
1734123232.7844422,20f094118214,"(199.11214077869096, 644.3965765468408)","(260.0, 905.0)"
1734123232.7853005,20f094118214,"(196.75237921161843, 643.532148244118)","(220.0, 915.0)"
1734123232.7883008,20f094118214,"(196.75237921161843, 643.532148244118)","(220.0, 915.0)"
1734123232.7903,20f094118214,"(196.75237921161843, 643.532148244118)","(220.0, 915.0)"
1734123232.8003004,20f094118214,"(196.75237921161843, 643.532148244118)","(220.0, 915.0)"
1734123232.8013003,20f094118214,"(185.31348477615785, 649.9904715231986)","(210.0, 910.0)"
1734123232.8023143,20f094118214,"(185.31348477615785, 649.9904715231986)","(210.0, 910.0)"
1734123232.8113012,20f094118214,"(185.620663078691, 651.5049975406724)","(205.0, 910.0)"
1734123232.8123038,20f094118214,"(185.620663078691, 651.5049975406724)","(205.0, 910.0)"
1734123232.8173032,20f094118214,"(185.620663078691, 651.5049975406724)","(205.0, 910.0)"
1734123232.8183005,20f094118214,"(185.620663078691, 651.5049975406724)","(205.0, 910.0)"
1734123232.8203008,20f094118214,"(183.4661233757974, 652.6933792207104)","(205.0, 910.0)"
1734123232.8262992,20f094118214,"(185.620663078691, 651.5049975406724)","(205.0, 910.0)"
1734123232.8332994,20f094118214,"(185.620663078691, 651.5049975406724)","(205.0, 910.0)"
1734123232.8342988,20f094118214,"(181.04238182431774, 653.6217561926849)","(210.0, 910.0)"
1734123232.8353045,20f094118214,"(178.82323162515064, 654.8530246739522)","(210.0, 910.0)"
1734123232.8363006,20f094118214,"(178.82323162515064, 654.8530246739522)","(210.0, 910.0)"
1734123232.839299,20f094118214,"(181.00643013824657, 655.5836728859723)","(210.0, 910.0)"
1734123232.845316,20f094118214,"(188.23866034544918, 651.6833103456332)","(215.0, 910.0)"
1734123232.8503,20f094118214,"(188.23866034544918, 651.6833103456332)","(215.0, 910.0)"
1734123232.8523,20f094118214,"(188.23866034544918, 651.6833103456332)","(215.0, 910.0)"
1734123232.8532996,20f094118214,"(188.23866034544918, 651.6833103456332)","(215.0, 910.0)"
1734123232.865305,20f094118214,"(188.23866034544918, 651.6833103456332)","(215.0, 910.0)"
1734123232.8744588,20f094118214,"(188.23866034544918, 651.6833103456332)","(215.0, 910.0)"
1734123232.8774686,20f094118214,"(185.9583095648338, 650.8942135119972)","(215.0, 910.0)"
1734123232.8794427,20f094118214,"(189.38868209529844, 648.990913060612)","(215.0, 915.0)"
1734123232.8814716,20f094118214,"(192.721265228347, 647.1418698663003)","(220.0, 915.0)"
1734123232.8834684,20f094118214,"(192.721265228347, 647.1418698663003)","(220.0, 915.0)"
1734123232.8914652,20f094118214,"(192.36980776462337, 645.5148841849375)","(255.0, 905.0)"
1734123232.892465,20f094118214,"(195.58375577763502, 643.688723848614)","(260.0, 905.0)"
