timestamp,target_mac,estimation_twcl_rssi_8,estimation_fpl
1734124657.1521628,342eb61ec446,"(62.0, 42.0)","(420.0, 585.0)"
1734124657.153164,342eb61ec446,"(309.0, 276.0)","(55.0, 455.0)"
1734124657.1541636,342eb61ec446,"(309.0, 276.0)","(55.0, 455.0)"
1734124657.1581638,342eb61ec446,"(301.9698411349641, 269.3398494962817)","(50.0, 445.0)"
1734124657.159164,342eb61ec446,"(301.9698411349641, 269.3398494962817)","(50.0, 445.0)"
1734124657.1601646,342eb61ec446,"(65.33023179660887, 705.7915717571178)","(190.0, 845.0)"
1734124657.173164,342eb61ec446,"(69.04317578135245, 706.5476981919871)","(55.0, 840.0)"
1734124657.1741638,342eb61ec446,"(69.56547651746324, 706.3368848255019)","(60.0, 840.0)"
1734124657.1791654,342eb61ec446,"(68.40274325450015, 707.7651249800613)","(55.0, 835.0)"
1734124657.1801655,342eb61ec446,"(68.40274325450015, 707.7651249800613)","(55.0, 835.0)"
1734124657.1894665,342eb61ec446,"(68.40274325450015, 707.7651249800613)","(55.0, 835.0)"
1734124657.191465,342eb61ec446,"(68.40274325450015, 707.7651249800613)","(55.0, 835.0)"
1734124657.2060642,342eb61ec446,"(67.9241129048813, 707.9592532069989)","(55.0, 835.0)"
1734124657.2110572,342eb61ec446,"(67.91791809237344, 707.2628632533073)","(55.0, 835.0)"
1734124657.212057,342eb61ec446,"(67.46849542162661, 707.4445015599134)","(55.0, 835.0)"
1734124657.2130568,342eb61ec446,"(66.46998523238938, 708.7988486752116)","(55.0, 835.0)"
1734124657.2170565,342eb61ec446,"(67.46849542162661, 707.4445015599134)","(55.0, 835.0)"
1734124657.218057,342eb61ec446,"(67.46239571664215, 706.7022470950003)","(60.0, 840.0)"
1734124657.2220566,342eb61ec446,"(67.46239571664215, 706.7022470950003)","(60.0, 840.0)"
1734124657.2240565,342eb61ec446,"(67.46239571664215, 706.7022470950003)","(60.0, 840.0)"
1734124657.2310593,342eb61ec446,"(67.46239571664215, 706.7022470950003)","(60.0, 840.0)"
1734124657.232058,342eb61ec446,"(68.53666674466433, 705.1747999364375)","(60.0, 840.0)"
1734124657.236058,342eb61ec446,"(68.54465099515481, 705.9848387419172)","(55.0, 840.0)"
1734124657.2370586,342eb61ec446,"(68.72988448499855, 706.022687328073)","(190.0, 845.0)"
1734124657.247057,342eb61ec446,"(68.72988448499855, 706.022687328073)","(190.0, 845.0)"
1734124657.250058,342eb61ec446,"(68.72988448499855, 706.022687328073)","(190.0, 845.0)"
1734124657.2520578,342eb61ec446,"(68.92552321256156, 706.0626620067437)","(190.0, 845.0)"
1734124657.253058,342eb61ec446,"(68.91707906929915, 705.2529845165236)","(190.0, 845.0)"
1734124657.2540586,342eb61ec446,"(68.91707906929915, 705.2529845165236)","(190.0, 845.0)"
1734124657.264057,342eb61ec446,"(68.91707906929915, 705.2529845165236)","(190.0, 845.0)"
1734124657.265057,342eb61ec446,"(67.81078037081454, 706.7729489005785)","(185.0, 845.0)"
1734124657.270058,342eb61ec446,"(67.81078037081454, 706.7729489005785)","(185.0, 845.0)"
1734124657.281058,342eb61ec446,"(67.81078037081454, 706.7729489005785)","(185.0, 845.0)"
1734124657.2850578,342eb61ec446,"(69.40630100822789, 705.0568740811909)","(185.0, 845.0)"
1734124657.2880566,342eb61ec446,"(68.25915687219693, 706.5922231433367)","(180.0, 845.0)"
1734124657.2890568,342eb61ec446,"(68.73618174627995, 706.3999501733527)","(185.0, 840.0)"
1734124657.293061,342eb61ec446,"(68.73618174627995, 706.3999501733527)","(185.0, 840.0)"
1734124657.2950568,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.297057,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.300057,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3134277,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3144224,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3193924,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.320422,342eb61ec446,"(67.63659439999061, 708.5178877711967)","(180.0, 840.0)"
1734124657.3264,342eb61ec446,"(67.63659439999061, 708.5178877711967)","(180.0, 840.0)"
1734124657.3273954,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3283937,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3343935,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3413942,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3423922,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.34274,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3447857,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3467865,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.350777,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3558214,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3587763,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3607578,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.36375,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3647482,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3727489,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3737483,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.3767502,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
1734124657.37775,342eb61ec446,"(67.63086666557446, 707.8405927285061)","(180.0, 840.0)"
