timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734007511.684091,342eb61ec446,"(1461.0, 241.0)","(1165.0, 370.0)"
1734007511.6850548,342eb61ec446,"(1461.0, 241.0)","(1165.0, 370.0)"
1734007511.6860552,342eb61ec446,"(1461.0, 241.0)","(1340.0, 480.0)"
1734007511.6881142,342eb61ec446,"(1461.0, 241.0)","(1340.0, 480.0)"
1734007511.6890552,342eb61ec446,"(1461.0, 241.0)","(1340.0, 480.0)"
1734007511.6992624,342eb61ec446,"(1293.4572144905092, 335.6616738128624)","(1340.0, 480.0)"
1734007511.7042563,342eb61ec446,"(1351.8563631839877, 302.6661548010469)","(1340.0, 485.0)"
1734007511.7052534,342eb61ec446,"(1351.8563631839877, 302.6661548010469)","(1340.0, 485.0)"
1734007511.708288,342eb61ec446,"(1391.1281203313802, 280.47761201277007)","(1320.0, 510.0)"
1734007511.7092893,342eb61ec446,"(1391.1281203313802, 280.47761201277007)","(1320.0, 510.0)"
1734007511.7132795,342eb61ec446,"(1391.1281203313802, 280.47761201277007)","(1320.0, 510.0)"
1734007511.719944,342eb61ec446,"(1391.1281203313802, 280.47761201277007)","(1320.0, 510.0)"
1734007511.720946,342eb61ec446,"(1358.7787397189027, 298.75501205881994)","(1290.0, 525.0)"
1734007511.722945,342eb61ec446,"(1306.6197529714354, 328.224839571139)","(1330.0, 500.0)"
1734007511.7259643,342eb61ec446,"(1306.6197529714354, 328.224839571139)","(1330.0, 500.0)"
1734007511.7289462,342eb61ec446,"(1306.6197529714354, 328.224839571139)","(1330.0, 500.0)"
1734007511.7319458,342eb61ec446,"(1345.763193272142, 306.10879580123975)","(1310.0, 520.0)"
1734007511.737668,342eb61ec446,"(1328.955843624297, 315.6049483522722)","(1295.0, 525.0)"
1734007511.7379477,342eb61ec446,"(1328.955843624297, 315.6049483522722)","(1295.0, 525.0)"
1734007511.7389896,342eb61ec446,"(1336.3663712813182, 311.41800022605514)","(1280.0, 525.0)"
