timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734007659.2701166,342eb61ec446,"(861.0, 580.0)","(1060.0, 105.0)"
1734007659.2731142,342eb61ec446,"(1335.3776935904718, 311.9766031213835)","(1340.0, 480.0)"
1734007659.2761145,342eb61ec446,"(1403.8140740581268, 273.3100481571585)","(1340.0, 480.0)"
1734007659.280387,342eb61ec446,"(1364.8877969934665, 295.3033946986915)","(1340.0, 480.0)"
1734007659.2863376,342eb61ec446,"(1311.151419667184, 325.664447888041)","(1340.0, 480.0)"
1734007659.2958553,342eb61ec446,"(1330.1740304234118, 314.9166728107723)","(1340.0, 480.0)"
1734007659.3021486,342eb61ec446,"(1366.491525390413, 294.39728815441674)","(1340.0, 480.0)"
1734007659.325143,342eb61ec446,"(1396.7337545534356, 277.31042867730906)","(1340.0, 480.0)"
1734007659.3290524,342eb61ec446,"(1370.584605653737, 265.4627203169993)","(1340.0, 480.0)"
1734007659.3319106,342eb61ec446,"(1370.584605653737, 265.4627203169993)","(1340.0, 480.0)"
1734007659.3389106,342eb61ec446,"(1370.584605653737, 265.4627203169993)","(1340.0, 480.0)"
1734007659.352713,342eb61ec446,"(1302.6350619530012, 307.4040670417731)","(1340.0, 480.0)"
1734007659.3561645,342eb61ec446,"(1301.5043216771421, 307.8781982100162)","(1340.0, 480.0)"
1734007659.3597128,342eb61ec446,"(1243.9809217800973, 331.9983585835232)","(1305.0, 195.0)"
1734007659.3617108,342eb61ec446,"(1254.0058808609165, 325.50663493415647)","(1310.0, 195.0)"
1734007659.3656764,342eb61ec446,"(1263.568498010004, 319.31430363423635)","(1310.0, 190.0)"
1734007659.3749738,342eb61ec446,"(1206.6959641355338, 341.87368671849885)","(1310.0, 185.0)"
1734007659.3867223,342eb61ec446,"(1196.1907115715776, 349.11003692988044)","(1305.0, 190.0)"
1734007659.397415,342eb61ec446,"(1185.329769695316, 356.5913971888185)","(1300.0, 190.0)"
1734007659.4144146,342eb61ec446,"(1196.1907115715776, 349.11003692988044)","(1305.0, 190.0)"
1734007659.4204311,342eb61ec446,"(1206.6959641355338, 341.87368671849885)","(1310.0, 185.0)"
1734007659.4234147,342eb61ec446,"(1206.6959641355338, 341.87368671849885)","(1310.0, 185.0)"
1734007659.431728,342eb61ec446,"(1209.9976072916988, 340.56403814662656)","(1310.0, 190.0)"
1734007659.4356894,342eb61ec446,"(1221.0085094692574, 336.1963909994966)","(1310.0, 195.0)"
1734007659.449718,342eb61ec446,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4527235,342eb61ec446,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4567163,342eb61ec446,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.458722,342eb61ec446,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4610262,342eb61ec446,"(1232.1164178734696, 331.7902648102079)","(1310.0, 195.0)"
1734007659.4637258,342eb61ec446,"(1221.9350764473122, 338.59974005181516)","(1305.0, 195.0)"
1734007659.4746616,342eb61ec446,"(1221.9350764473122, 338.59974005181516)","(1305.0, 195.0)"
1734007659.4766617,342eb61ec446,"(1223.482709812528, 337.96790911695496)","(1305.0, 195.0)"
1734007659.4786625,342eb61ec446,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.4896643,342eb61ec446,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.4916744,342eb61ec446,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.501675,342eb61ec446,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.5036983,342eb61ec446,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
1734007659.5057244,342eb61ec446,"(1233.6396589551962, 331.18604733032186)","(1310.0, 195.0)"
