timestamp,estimation_twcl_rssi_9,estimation_fpl
1734006193.5706637,"(1461.0, 241.0)","(1530.0, 155.0)"
1734006193.5716224,"(1203.5714855130386, 386.4471106851331)","(1555.0, 360.0)"
1734006193.581488,"(1192.8963021942302, 392.47858926025987)","(1575.0, 305.0)"
1734006193.582475,"(1131.455812639061, 420.28908648883913)","(1580.0, 270.0)"
1734006193.5854878,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.592822,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.5948825,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.5978613,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6018603,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6120875,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.622086,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6294668,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.631467,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6324663,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.638198,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6391976,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6401975,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6412013,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.642199,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.643206,"(1151.844185583824, 408.84211089374514)","(1575.0, 285.0)"
1734006193.6452012,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6471994,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6481986,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.649202,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6501975,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.654323,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6563764,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6573794,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.660336,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6613655,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.674414,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6784215,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6867943,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6887915,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6918316,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6928332,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6987915,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7011075,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.702639,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7043917,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7237945,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.726792,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.732794,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.7376883,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.7427013,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.7467008,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.7543063,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.7553189,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.7585957,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.762323,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7643187,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7663584,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7800653,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7850742,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7860827,"(1162.952406530629, 402.7444546627724)","(1585.0, 265.0)"
1734006193.7936883,"(1162.952406530629, 402.7444546627724)","(1585.0, 265.0)"
1734006193.795691,"(1175.3013489619104, 396.04293113775617)","(1575.0, 275.0)"
1734006193.7966902,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.8006902,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.801726,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.802692,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.8047252,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.8103125,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.8183143,"(1178.3363588640482, 394.656660740125)","(1580.0, 250.0)"
1734006193.826699,"(1190.5265813605972, 388.03002536894195)","(1570.0, 260.0)"
1734006193.8277,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8327014,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8366983,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.840698,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8441484,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.847106,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8481088,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8491082,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8501077,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8551064,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.857106,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8574374,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.866483,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8789537,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8819618,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.893915,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8949668,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8979795,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9049797,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9069831,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9089794,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9188302,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.91983,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.92283,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9288611,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9338305,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9348297,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.93583,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.936832,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
