timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734007379.60799,342eb61ec446,"(1252.7437083387945, 358.664804788581)","(1300.0, 520.0)"
1734007379.6139896,342eb61ec446,"(1272.2070318949654, 371.5220043946169)","(1300.0, 535.0)"
1734007379.6174054,342eb61ec446,"(1272.2070318949654, 371.5220043946169)","(1300.0, 535.0)"
1734007379.618405,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.621403,342eb61ec446,"(1245.4981253471185, 384.46668261668754)","(1295.0, 540.0)"
1734007379.622404,342eb61ec446,"(1264.1780390895751, 374.9671681542978)","(1280.0, 540.0)"
1734007379.626403,342eb61ec446,"(1264.1780390895751, 374.9671681542978)","(1280.0, 540.0)"
1734007379.6274052,342eb61ec446,"(1264.1780390895751, 374.9671681542978)","(1280.0, 540.0)"
1734007379.6392207,342eb61ec446,"(1264.1780390895751, 374.9671681542978)","(1280.0, 540.0)"
1734007379.6494503,342eb61ec446,"(1264.1780390895751, 374.9671681542978)","(1280.0, 540.0)"
1734007379.650482,342eb61ec446,"(1264.1780390895751, 374.9671681542978)","(1280.0, 540.0)"
1734007379.6515205,342eb61ec446,"(1255.0089853422644, 379.6300140260665)","(1290.0, 540.0)"
1734007379.652469,342eb61ec446,"(1255.0089853422644, 379.6300140260665)","(1290.0, 540.0)"
1734007379.6604662,342eb61ec446,"(1265.6551713629465, 372.46523103869436)","(1295.0, 540.0)"
1734007379.6634648,342eb61ec446,"(1256.380585129254, 377.2218713770298)","(1285.0, 535.0)"
1734007379.6719203,342eb61ec446,"(1267.112394495642, 370.0773530717929)","(1295.0, 535.0)"
1734007379.6729205,342eb61ec446,"(1267.112394495642, 370.0773530717929)","(1295.0, 535.0)"
1734007379.680962,342eb61ec446,"(1256.380585129254, 377.2218713770298)","(1285.0, 535.0)"
1734007379.6821976,342eb61ec446,"(1256.380585129254, 377.2218713770298)","(1285.0, 535.0)"
1734007379.6902132,342eb61ec446,"(1245.4981253471185, 384.46668261668754)","(1295.0, 540.0)"
1734007379.691214,342eb61ec446,"(1255.0089853422644, 379.6300140260665)","(1290.0, 540.0)"
1734007379.694244,342eb61ec446,"(1253.8673299294749, 378.9038813033846)","(1280.0, 535.0)"
1734007379.6952522,342eb61ec446,"(1253.8673299294749, 378.9038813033846)","(1280.0, 535.0)"
1734007379.7008383,342eb61ec446,"(1253.8673299294749, 378.9038813033846)","(1280.0, 535.0)"
1734007379.7018535,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.711853,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7168798,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.71788,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7198532,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7258582,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7268567,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7320194,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.735981,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.73798,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7450163,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7454505,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7485025,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7495074,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7585003,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7595012,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7604623,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7681987,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7742307,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7815895,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7826045,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7906053,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7946055,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.7976046,342eb61ec446,"(1244.3707050800692, 383.7648973575219)","(1290.0, 535.0)"
1734007379.8006058,342eb61ec446,"(1234.5425785378275, 388.79559843938284)","(1300.0, 535.0)"
1734007379.8098338,342eb61ec446,"(1234.5425785378275, 388.79559843938284)","(1300.0, 535.0)"
1734007379.8108168,342eb61ec446,"(1234.5425785378275, 388.79559843938284)","(1300.0, 535.0)"
1734007379.812796,342eb61ec446,"(1224.3952218440159, 393.98970314267285)","(1290.0, 530.0)"
1734007379.824832,342eb61ec446,"(1222.3941076481285, 392.79912413295943)","(1290.0, 525.0)"
1734007379.8258233,342eb61ec446,"(1222.3941076481285, 392.79912413295943)","(1290.0, 525.0)"
1734007379.826822,342eb61ec446,"(1220.620070520707, 391.74364645422366)","(1295.0, 520.0)"
1734007379.8388216,342eb61ec446,"(1220.620070520707, 391.74364645422366)","(1295.0, 520.0)"
1734007379.8398564,342eb61ec446,"(1220.620070520707, 391.74364645422366)","(1295.0, 520.0)"
1734007379.8498592,342eb61ec446,"(1208.9481686515505, 399.06316373931406)","(1305.0, 525.0)"
1734007379.8528228,342eb61ec446,"(1208.9481686515505, 399.06316373931406)","(1305.0, 525.0)"
1734007379.8573952,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.8583946,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.8673944,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.868423,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.8714323,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.8724358,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.8753946,342eb61ec446,"(1197.24466563133, 406.40249828932303)","(1295.0, 525.0)"
1734007379.8860185,342eb61ec446,"(1200.1652791480112, 405.12308114287754)","(1295.0, 520.0)"
1734007379.8869815,342eb61ec446,"(1200.1652791480112, 405.12308114287754)","(1295.0, 520.0)"
1734007379.898326,342eb61ec446,"(1200.1652791480112, 405.12308114287754)","(1295.0, 520.0)"
1734007379.900916,342eb61ec446,"(1200.1652791480112, 405.12308114287754)","(1295.0, 520.0)"
1734007379.9019186,342eb61ec446,"(1200.1652791480112, 405.12308114287754)","(1295.0, 520.0)"
1734007379.9049177,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9069157,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9079175,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9129531,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9176643,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9186678,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9236643,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9246645,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9287074,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9296825,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.934471,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.936596,342eb61ec446,"(1197.5781111475906, 403.6617880274432)","(1285.0, 510.0)"
1734007379.9475896,342eb61ec446,"(1185.825343397943, 410.91906730957623)","(1240.0, 495.0)"
1734007379.949586,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9505875,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9600728,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9620328,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9670718,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9703732,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9773872,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.978387,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.985404,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.9863925,342eb61ec446,"(1174.1096475420209, 418.15345487020005)","(1215.0, 485.0)"
1734007379.992387,342eb61ec446,"(1171.681636289603, 416.8591498692422)","(1195.0, 470.0)"
1734007379.9931097,342eb61ec446,"(1171.681636289603, 416.8591498692422)","(1195.0, 470.0)"
1734007379.9971669,342eb61ec446,"(1171.681636289603, 416.8591498692422)","(1195.0, 470.0)"
1734007379.998139,342eb61ec446,"(1171.681636289603, 416.8591498692422)","(1195.0, 470.0)"
1734007379.999139,342eb61ec446,"(1171.681636289603, 416.8591498692422)","(1195.0, 470.0)"
1734007380.0081384,342eb61ec446,"(1171.681636289603, 416.8591498692422)","(1195.0, 470.0)"
1734007380.0091374,342eb61ec446,"(1160.928961869033, 422.5054457594695)","(1195.0, 465.0)"
1734007380.014166,342eb61ec446,"(1160.928961869033, 422.5054457594695)","(1195.0, 465.0)"
1734007380.015169,342eb61ec446,"(1160.928961869033, 422.5054457594695)","(1195.0, 465.0)"
1734007380.0161552,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.025679,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.028714,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.032714,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0337138,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0435166,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0445037,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0485194,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0504751,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0515027,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.061334,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0643597,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.065351,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0733593,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.077189,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.080227,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0821908,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0831912,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0871923,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0911915,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0930128,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.0940423,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.096076,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1080744,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1100762,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1220589,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1230583,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1260478,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1270254,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1377857,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1447835,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1457832,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.154277,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1552773,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1572752,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1612775,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1652758,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1682787,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1692798,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1726997,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.173697,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.1746967,342eb61ec446,"(1150.0172650092345, 428.23524531677975)","(1195.0, 460.0)"
1734007380.181738,342eb61ec446,"(1138.2762732288932, 435.3042148411485)","(1165.0, 455.0)"
1734007380.1901174,342eb61ec446,"(1126.7063896800073, 442.27016420366357)","(1150.0, 455.0)"
1734007380.191118,342eb61ec446,"(1126.7063896800073, 442.27016420366357)","(1150.0, 455.0)"
1734007380.2041214,342eb61ec446,"(1126.7063896800073, 442.27016420366357)","(1150.0, 455.0)"
1734007380.206148,342eb61ec446,"(1126.7063896800073, 442.27016420366357)","(1150.0, 455.0)"
1734007380.2071202,342eb61ec446,"(1126.7063896800073, 442.27016420366357)","(1150.0, 455.0)"
