timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734007659.2701166,342eb61ec446,"(861.0, 580.0)","(1060.0, 105.0)"
1734007659.2731142,342eb61ec446,"(1335.3776935904718, 311.9766031213835)","(1340.0, 480.0)"
1734007659.2761145,342eb61ec446,"(1403.8140740581268, 273.3100481571585)","(1340.0, 480.0)"
1734007659.280387,342eb61ec446,"(1364.8877969934665, 295.3033946986915)","(1340.0, 480.0)"
1734007659.2863376,342eb61ec446,"(1311.151419667184, 325.664447888041)","(1340.0, 480.0)"
1734007659.2958553,342eb61ec446,"(1311.151419667184, 325.664447888041)","(1340.0, 480.0)"
1734007659.3021486,342eb61ec446,"(1356.9495511901769, 299.7885035775501)","(1340.0, 480.0)"
1734007659.325143,342eb61ec446,"(1392.4595699039783, 279.72534300425235)","(1340.0, 480.0)"
1734007659.3290524,342eb61ec446,"(1392.4595699039783, 279.72534300425235)","(1340.0, 480.0)"
1734007659.3319106,342eb61ec446,"(1392.4595699039783, 279.72534300425235)","(1340.0, 480.0)"
1734007659.3389106,342eb61ec446,"(1392.4595699039783, 279.72534300425235)","(1340.0, 480.0)"
1734007659.352713,342eb61ec446,"(1314.1119270830827, 323.9917611980584)","(1340.0, 480.0)"
1734007659.3561645,342eb61ec446,"(1314.1119270830827, 323.9917611980584)","(1340.0, 480.0)"
1734007659.3597128,342eb61ec446,"(1253.8335345811593, 358.04905296164503)","(1315.0, 420.0)"
1734007659.3617108,342eb61ec446,"(1265.576108261218, 351.4144988324119)","(1340.0, 480.0)"
1734007659.3656764,342eb61ec446,"(1276.8566485592396, 345.04099356402963)","(1340.0, 480.0)"
1734007659.3749738,342eb61ec446,"(1213.4049538633444, 380.89120106721043)","(1315.0, 420.0)"
1734007659.3867223,342eb61ec446,"(1200.6706954898114, 388.0860570482564)","(1305.0, 395.0)"
1734007659.397415,342eb61ec446,"(1187.6630079402194, 395.4354005137761)","(1295.0, 375.0)"
1734007659.4144146,342eb61ec446,"(1200.6706954898114, 388.0860570482564)","(1305.0, 395.0)"
1734007659.4204311,342eb61ec446,"(1213.4049538633444, 380.89120106721043)","(1315.0, 420.0)"
1734007659.4234147,342eb61ec446,"(1213.4049538633444, 380.89120106721043)","(1315.0, 420.0)"
1734007659.431728,342eb61ec446,"(1213.4049538633444, 380.89120106721043)","(1315.0, 420.0)"
1734007659.4356894,342eb61ec446,"(1226.4469649087478, 373.52246482655744)","(1320.0, 430.0)"
1734007659.449718,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.4527235,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.4567163,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.458722,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.4610262,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.4637258,342eb61ec446,"(1227.077270263226, 373.1663423012774)","(1310.0, 410.0)"
1734007659.4746616,342eb61ec446,"(1227.077270263226, 373.1663423012774)","(1310.0, 410.0)"
1734007659.4766617,342eb61ec446,"(1227.077270263226, 373.1663423012774)","(1310.0, 410.0)"
1734007659.4786625,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.4896643,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.4916744,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.501675,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.5036983,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
1734007659.5057244,342eb61ec446,"(1239.3626702111023, 366.2250913307273)","(1340.0, 475.0)"
