timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734005108.275564,20f094118214,"(1461.0, 241.0)","(1520.0, 275.0)"
1734005108.2765646,20f094118214,"(1461.0, 241.0)","(1020.0, 460.0)"
1734005108.2775626,20f094118214,"(1172.2918000803254, 404.1201329546161)","(1435.0, 465.0)"
1734005108.2785623,20f094118214,"(1172.2918000803254, 404.1201329546161)","(1435.0, 465.0)"
1734005108.2805624,20f094118214,"(1172.2918000803254, 404.1201329546161)","(1435.0, 465.0)"
1734005108.2975624,20f094118214,"(1120.6342424533177, 427.390209645405)","(1440.0, 430.0)"
1734005108.2985628,20f094118214,"(1120.6342424533177, 427.390209645405)","(1440.0, 430.0)"
1734005108.2995627,20f094118214,"(1107.9915456871156, 434.31357031987733)","(1445.0, 430.0)"
1734005108.3005636,20f094118214,"(1107.9915456871156, 434.31357031987733)","(1445.0, 430.0)"
1734005108.3015623,20f094118214,"(1107.9915456871156, 434.31357031987733)","(1445.0, 430.0)"
1734005108.309564,20f094118214,"(1107.9915456871156, 434.31357031987733)","(1445.0, 430.0)"
1734005108.3155625,20f094118214,"(1107.9915456871156, 434.31357031987733)","(1445.0, 430.0)"
1734005108.3165622,20f094118214,"(1107.9915456871156, 434.31357031987733)","(1445.0, 430.0)"
1734005108.3205624,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.3215623,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.3265638,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.3295624,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.3335626,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.337562,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.3405633,20f094118214,"(1104.9608125709003, 435.6750998554827)","(1445.0, 440.0)"
1734005108.3455627,20f094118214,"(1101.7455550334826, 437.1195253241424)","(1440.0, 450.0)"
