timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734005774.3173702,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.319745,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.3224046,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.3244405,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.3334389,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.335445,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.3364036,20f094118214,"(884.0, 45.0)","(1175.0, 265.0)"
1734005774.3414404,20f094118214,"(884.0, 45.0)","(1135.0, 180.0)"
1734005774.3537564,20f094118214,"(1193.9196782152917, 150.27600854453584)","(1125.0, 580.0)"
1734005774.3547714,20f094118214,"(1193.9196782152917, 150.27600854453584)","(1125.0, 580.0)"
1734005774.3557584,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.362811,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.3637848,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.379715,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.380731,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.3856728,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.389854,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.390867,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.398869,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.4088686,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.4098854,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.4257145,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.427753,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.428727,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.4365458,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.437546,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4405456,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4415455,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.442546,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4435463,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.455976,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4619913,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4639835,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4733553,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.474355,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.475389,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.478368,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.488824,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.489838,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.490838,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.4938664,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.498838,20f094118214,"(1182.8230438890293, 298.3146920446243)","(1120.0, 85.0)"
1734005774.5018375,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5048373,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.515472,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5214713,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5224855,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5319512,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5349898,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5379694,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.53895,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5469294,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
1734005774.5498755,20f094118214,"(1163.4785725457687, 302.3003651690463)","(1110.0, 80.0)"
