timestamp,estimation_twcl_rssi_9,estimation_fpl
1734005108.2785623,"(1461.0, 241.0)","(910.0, 250.0)"
1734005108.2805624,"(1461.0, 241.0)","(910.0, 250.0)"
1734005108.2975624,"(1461.0, 241.0)","(910.0, 250.0)"
1734005108.2985628,"(1282.9213207133432, 517.5811371529477)","(1330.0, 570.0)"
1734005108.2995627,"(1282.9213207133432, 517.5811371529477)","(1330.0, 570.0)"
1734005108.3005636,"(1282.9213207133432, 517.5811371529477)","(1330.0, 570.0)"
1734005108.3015623,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.309564,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.3155625,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.3165622,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.3205624,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.3215623,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.3265638,"(1095.7374966469497, 295.8342917455578)","(800.0, 445.0)"
1734005108.3295624,"(1096.4904850076705, 286.74720350836515)","(1320.0, 550.0)"
1734005108.3335626,"(1096.4904850076705, 286.74720350836515)","(1320.0, 550.0)"
1734005108.337562,"(1088.6363254068815, 287.73292767430917)","(790.0, 415.0)"
1734005108.3405633,"(1081.0698064316052, 288.68255194795574)","(775.0, 385.0)"
1734005108.3455627,"(1081.0698064316052, 288.68255194795574)","(775.0, 385.0)"
1734005108.356562,"(1102.714838735832, 315.447264434343)","(1355.0, 570.0)"
1734005108.362563,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.368563,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.3695626,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.3785622,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.3815625,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.3905632,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4055626,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4105656,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4135635,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.417563,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4185624,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4195635,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.422562,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4235623,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.425574,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4265628,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4295626,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4355628,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.4375627,"(1103.6529327342835, 305.87430467821525)","(1370.0, 560.0)"
1734005108.441572,"(1110.8066983006497, 314.3705883140652)","(1375.0, 565.0)"
1734005108.442565,"(1118.9070065429066, 312.6734559635158)","(1375.0, 560.0)"
1734005108.443563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4525633,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.454563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4555628,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.458567,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.466565,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4685638,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4735668,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4865656,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4875658,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.4995627,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.500563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.5035625,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.5045626,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.512563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.5135632,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.514563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.521562,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.522563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.523563,"(1127.2592188408144, 310.9235460507684)","(1375.0, 555.0)"
1734005108.532562,"(1112.475523419172, 294.7624618830591)","(1345.0, 555.0)"
1734005108.5365622,"(1112.475523419172, 294.7624618830591)","(1345.0, 555.0)"
1734005108.537563,"(1112.475523419172, 294.7624618830591)","(1345.0, 555.0)"
